productName;buyPrice;priceEach;gross_margin;profit_margin_percentage;margin_classification
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;62.05;28.44;85;YES
1982 Camaro Z28;46.53;95.08;48.55;104;YES
1998 Chrysler Plymouth Prowler;101.51;152.27;50.76;50;YES
1964 Mercedes Tour Bus;74.86;106.78;31.92;43;YES
1926 Ford Fire Engine;24.92;58.34;33.42;134;YES
1992 Ferrari 360 Spider red;77.9;167.65;89.75;115;YES
1962 Volkswagen Microbus;61.34;109.9;48.56;79;YES
1958 Chevy Corvette Limited Edition;15.91;29.35;13.44;84;YES
1980â€™s GM Manhattan Express;53.93;84.75;30.82;57;YES
1954 Greyhound Scenicruiser;25.98;43.29;17.31;67;YES
Diamond T620 Semi-Skirted Tanker;68.29;108.81;40.52;59;YES
1970 Triumph Spitfire;91.92;117.77;25.85;28;NO
1992 Porsche Cayenne Turbo Silver;69.78;112.37;42.59;61;YES
1950's Chicago Surface Lines Streetcar;26.72;57.17;30.45;114;YES
2001 Ferrari Enzo;95.59;201.57;105.98;111;YES
1969 Ford Falcon;83.05;155.72;72.67;88;YES
1903 Ford Model A;68.3;125.66;57.36;84;YES
Collectable Wooden Train;67.56;82.69;15.13;22;NO
1904 Buick Runabout;52.66;82.5;29.84;57;YES
18th century schooner;82.34;111.83;29.49;36;YES
1962 City of Detroit Streetcar;37.49;53.31;15.82;42;YES
The Schooner Bluenose;34;58;24;71;YES
The Mayflower;43.3;80.55;37.25;86;YES
The Titanic;51.09;87.15;36.06;71;YES
The Queen Mary;53.63;85.41;31.78;59;YES
Pont Yacht;33.3;51.87;18.57;56;YES
1912 Ford Model T Delivery Wagon;46.91;75.23;28.32;60;YES
1972 Alfa Romeo GTA;85.68;129.2;43.52;51;YES
1980s Black Hawk Helicopter;77.27;138.77;61.5;80;YES
1999 Yamaha Speed Boat;51.61;83.44;31.83;62;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;105.87;41.29;64;YES
1900s Vintage Bi-Plane;34.25;62.34;28.09;82;YES
1937 Horch 930V Limousine;26.3;56.55;30.25;115;YES
1940 Ford Delivery Sedan;48.64;76.31;27.67;57;YES
Corsair F4U ( Bird Cage);29.34;58.69;29.35;100;YES
HMS Bounty;39.83;89.61;49.78;125;YES
America West Airlines B757-200;68.8;87.75;18.95;28;NO
F/A 18 Hornet 1/72;54.4;76.8;22.4;41;YES
American Airlines: MD-11S;36.27;70.33;34.06;94;YES
Boeing X-32A JSF;32.77;49.16;16.39;50;YES
1930 Buick Marquette Phaeton;27.06;43.64;16.58;61;YES
American Airlines: B767-300;51.15;77.64;26.49;52;YES
P-51-D Mustang;49;69.27;20.27;41;YES
1928 British Royal Navy Airplane;66.74;89.72;22.98;34;YES
1900s Vintage Tri-Plane;36.23;66.65;30.42;84;YES
1997 BMW F650 ST;66.92;83.91;16.99;25;NO
1928 Ford Phaeton Deluxe;33.02;56.41;23.39;71;YES
ATA: B757-300;59.33;109.16;49.83;84;YES
1960 BSA Gold Star DBD34;37.32;67.79;30.47;82;YES
1969 Harley Davidson Ultimate Chopper;48.81;81.35;32.54;67;YES
1996 Moto Guzzi 1100i;68.99;101.1;32.11;47;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;170.42;79.4;87;YES
1968 Ford Mustang;95.34;188.73;93.39;98;YES
2002 Suzuki XREO;66.27;131.04;64.77;98;YES
1970 Plymouth Hemi Cuda;31.92;67.03;35.11;110;YES
1936 Harley Davidson El Knucklehead;24.23;51.48;27.25;112;YES
1969 Dodge Super Bee;49.05;66.74;17.69;36;YES
1976 Ford Gran Torino;73.49;129.35;55.86;76;YES
1957 Vespa GS150;32.95;54.71;21.76;66;YES
1957 Corvette Convertible;69.93;142.85;72.92;104;YES
1997 BMW R 1100 S;60.86;100.3;39.44;65;YES
1982 Ducati 900 Monster;47.1;67.18;20.08;43;YES
1971 Alpine Renault 1600s;38.58;49.6;11.02;29;NO
1961 Chevrolet Impala;32.33;80.84;48.51;150;YES
1982 Ducati 996 R;24.14;39.43;15.29;63;YES
1974 Ducati 350 Mk3 Desmo;56.13;86.74;30.61;55;YES
2002 Yamaha YZR M1;34.17;78.11;43.94;129;YES
1968 Dodge Charger;75.16;96.3;21.14;28;NO
1969 Dodge Charger;58.73;93.28;34.55;59;YES
1948 Porsche 356-A Roadster;53.9;70.84;16.94;31;YES
1992 Ferrari 360 Spider red;77.9;140.55;62.65;80;YES
1982 Lamborghini Diablo;16.24;30.59;14.35;88;YES
1956 Porsche 356A Coupe;98.3;130.6;32.3;33;YES
1993 Mazda RX-7;83.51;121.72;38.21;46;YES
1965 Aston Martin DB5;65.96;102.04;36.08;55;YES
1995 Honda Civic;93.89;139.41;45.52;48;YES
1999 Indy 500 Monte Carlo SS;56.76;125.4;68.64;121;YES
1948 Porsche Type 356 Roadster;62.16;132.8;70.64;114;YES
1957 Ford Thunderbird;34.21;62.72;28.51;83;YES
1970 Chevy Chevelle SS 454;49.24;73.49;24.25;49;YES
1966 Shelby Cobra 427 S/C;29.18;47.29;18.11;62;YES
1949 Jaguar XK 120;47.25;82.69;35.44;75;YES
1952 Citroen-15CV;72.82;108.04;35.22;48;YES
1969 Chevrolet Camaro Z28;50.51;72.77;22.26;44;YES
2002 Chevy Corvette;62.11;94.23;32.12;52;YES
1937 Lincoln Berline;60.62;87.33;26.71;44;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;45.28;21.02;87;YES
1917 Grand Touring Sedan;86.7;141.1;54.4;63;YES
1911 Ford Town Car;33.3;53.28;19.98;60;YES
1932 Model A Ford J-Coupe;58.48;113.15;54.67;93;YES
1928 Mercedes-Benz SSK;72.56;156.94;84.38;116;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;86.51;43.25;100;YES
1939 Chevrolet Deluxe Coupe;22.57;27.55;4.98;22;NO
1938 Cadillac V-16 Presidential Limousine;20.61;38.98;18.37;89;YES
1936 Mercedes Benz 500k Roadster;21.75;32.82;11.07;51;YES
1952 Alpine Renault 1300;98.58;212.16;113.58;115;YES
1913 Ford Model T Speedster;60.78;101.31;40.53;67;YES
1934 Ford V8 Coupe;34.35;59.96;25.61;75;YES
18th Century Vintage Horse Carriage;60.74;101.58;40.84;67;YES
1917 Maxwell Touring Car;57.54;80.36;22.82;40;YES
1936 Chrysler Airflow;57.46;96.42;38.96;68;YES
1962 LanciaA Delta 16V;103.42;143.31;39.89;39;YES
1958 Setra Bus;77.9;121.64;43.74;56;YES
1940 Ford Pickup Truck;58.33;103.84;45.51;78;YES
1940s Ford truck;84.76;107.76;23;27;NO
1939 Cadillac Limousine;23.14;46.29;23.15;100;YES
1980â€™s GM Manhattan Express;53.93;91.49;37.56;70;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;57.53;23.92;71;YES
1982 Camaro Z28;46.53;86.99;40.46;87;YES
2001 Ferrari Enzo;95.59;168.32;72.73;76;YES
1969 Ford Falcon;83.05;152.26;69.21;83;YES
1998 Chrysler Plymouth Prowler;101.51;134.26;32.75;32;YES
1964 Mercedes Tour Bus;74.86;120.28;45.42;61;YES
1926 Ford Fire Engine;24.92;60.77;35.85;144;YES
1992 Ferrari 360 Spider red;77.9;154.1;76.2;98;YES
Collectable Wooden Train;67.56;84.71;17.15;25;NO
1970 Triumph Spitfire;91.92;123.51;31.59;34;YES
1962 Volkswagen Microbus;61.34;117.57;56.23;92;YES
1958 Chevy Corvette Limited Edition;15.91;31.12;15.21;96;YES
1992 Porsche Cayenne Turbo Silver;69.78;106.45;36.67;53;YES
1954 Greyhound Scenicruiser;25.98;50.86;24.88;96;YES
1950's Chicago Surface Lines Streetcar;26.72;55.3;28.58;107;YES
Diamond T620 Semi-Skirted Tanker;68.29;106.49;38.2;56;YES
1962 City of Detroit Streetcar;37.49;49.21;11.72;31;YES
1903 Ford Model A;68.3;136.59;68.29;100;YES
1904 Buick Runabout;52.66;72.85;20.19;38;YES
The Mayflower;43.3;76.22;32.92;76;YES
1972 Alfa Romeo GTA;85.68;123.76;38.08;44;YES
1980s Black Hawk Helicopter;77.27;141.92;64.65;84;YES
1999 Yamaha Speed Boat;51.61;69.68;18.07;35;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;84.7;20.12;31;YES
18th century schooner;82.34;110.6;28.26;34;YES
1900s Vintage Bi-Plane;34.25;54.81;20.56;60;YES
1912 Ford Model T Delivery Wagon;46.91;77;30.09;64;YES
1937 Horch 930V Limousine;26.3;64.44;38.14;145;YES
1940 Ford Delivery Sedan;48.64;73.8;25.16;52;YES
The Schooner Bluenose;34;66;32;94;YES
HMS Bounty;39.83;87.8;47.97;120;YES
The Titanic;51.09;85.14;34.05;67;YES
The Queen Mary;53.63;83.42;29.79;56;YES
Boeing X-32A JSF;32.77;42.71;9.94;30;YES
Pont Yacht;33.3;43.68;10.38;31;YES
1969 Harley Davidson Ultimate Chopper;48.81;94.74;45.93;94;YES
1996 Moto Guzzi 1100i;68.99;97.53;28.54;41;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;160.74;69.72;77;YES
P-51-D Mustang;49;75.19;26.19;53;YES
1936 Harley Davidson El Knucklehead;24.23;49.06;24.83;102;YES
1997 BMW R 1100 S;60.86;103.68;42.82;70;YES
1928 British Royal Navy Airplane;66.74;93.01;26.27;39;YES
1960 BSA Gold Star DBD34;37.32;72.36;35.04;94;YES
Corsair F4U ( Bird Cage);29.34;57.32;27.98;95;YES
1900s Vintage Tri-Plane;36.23;68.1;31.87;88;YES
1997 BMW F650 ST;66.92;89.9;22.98;34;YES
1928 Ford Phaeton Deluxe;33.02;57.78;24.76;75;YES
1930 Buick Marquette Phaeton;27.06;39.71;12.65;47;YES
American Airlines: B767-300;51.15;91.34;40.19;79;YES
America West Airlines B757-200;68.8;87.75;18.95;28;NO
ATA: B757-300;59.33;94.92;35.59;60;YES
F/A 18 Hornet 1/72;54.4;72;17.6;32;YES
American Airlines: MD-11S;36.27;67.37;31.1;86;YES
1968 Ford Mustang;95.34;163.44;68.1;71;YES
2002 Suzuki XREO;66.27;126.52;60.25;91;YES
1970 Plymouth Hemi Cuda;31.92;71.82;39.9;125;YES
1969 Dodge Super Bee;49.05;65.13;16.08;33;YES
1976 Ford Gran Torino;73.49;136.7;63.21;86;YES
1957 Vespa GS150;32.95;52.84;19.89;60;YES
1957 Corvette Convertible;69.93;120.53;50.6;72;YES
1982 Ducati 900 Monster;47.1;66.49;19.39;41;YES
1971 Alpine Renault 1600s;38.58;53.27;14.69;38;YES
1961 Chevrolet Impala;32.33;77.61;45.28;140;YES
1982 Ducati 996 R;24.14;37.01;12.87;53;YES
1974 Ducati 350 Mk3 Desmo;56.13;83.68;27.55;49;YES
2002 Yamaha YZR M1;34.17;75.66;41.49;121;YES
1968 Dodge Charger;75.16;116.27;41.11;55;YES
1969 Dodge Charger;58.73;93.28;34.55;59;YES
1948 Porsche 356-A Roadster;53.9;70.07;16.17;30;YES
1956 Porsche 356A Coupe;98.3;130.6;32.3;33;YES
1993 Mazda RX-7;83.51;134.46;50.95;61;YES
1995 Honda Civic;93.89;128.03;34.14;36;YES
1992 Ferrari 360 Spider red;77.9;165.95;88.05;113;YES
1982 Lamborghini Diablo;16.24;34.74;18.5;114;YES
1965 Aston Martin DB5;65.96;109.51;43.55;66;YES
1999 Indy 500 Monte Carlo SS;56.76;117.48;60.72;107;YES
1948 Porsche Type 356 Roadster;62.16;139.87;77.71;125;YES
1970 Chevy Chevelle SS 454;49.24;61;11.76;24;NO
1966 Shelby Cobra 427 S/C;29.18;43.27;14.09;48;YES
1949 Jaguar XK 120;47.25;79.97;32.72;69;YES
1969 Chevrolet Camaro Z28;50.51;77.91;27.4;54;YES
2002 Chevy Corvette;62.11;87.81;25.7;41;YES
1937 Lincoln Berline;60.62;101.71;41.09;68;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;51.75;27.49;113;YES
1917 Grand Touring Sedan;86.7;168.3;81.6;94;YES
1911 Ford Town Car;33.3;55.09;21.79;65;YES
1932 Model A Ford J-Coupe;58.48;127.13;68.65;117;YES
1928 Mercedes-Benz SSK;72.56;140.06;67.5;93;YES
1934 Ford V8 Coupe;34.35;56.84;22.49;65;YES
18th Century Vintage Horse Carriage;60.74;86.92;26.18;43;YES
1917 Maxwell Touring Car;57.54;90.28;32.74;57;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;77.31;34.05;79;YES
1957 Ford Thunderbird;34.21;58.44;24.23;71;YES
1939 Chevrolet Deluxe Coupe;22.57;29.87;7.3;32;YES
1938 Cadillac V-16 Presidential Limousine;20.61;39.42;18.81;91;YES
1952 Citroen-15CV;72.82;98.65;25.83;35;YES
1936 Mercedes Benz 500k Roadster;21.75;35.7;13.95;64;YES
1936 Chrysler Airflow;57.46;93.49;36.03;63;YES
1952 Alpine Renault 1300;98.58;207.87;109.29;111;YES
1958 Setra Bus;77.9;113.44;35.54;46;YES
1940 Ford Pickup Truck;58.33;108.5;50.17;86;YES
1913 Ford Model T Speedster;60.78;100.3;39.52;65;YES
1939 Cadillac Limousine;23.14;44.27;21.13;91;YES
1962 LanciaA Delta 16V;103.42;119.67;16.25;16;NO
1964 Mercedes Tour Bus;74.86;101.87;27.01;36;YES
1926 Ford Fire Engine;24.92;59.55;34.63;139;YES
1992 Ferrari 360 Spider red;77.9;150.71;72.81;93;YES
1940s Ford truck;84.76;102.92;18.16;21;NO
1962 Volkswagen Microbus;61.34;121.4;60.06;98;YES
1958 Chevy Corvette Limited Edition;15.91;32.18;16.27;102;YES
1980â€™s GM Manhattan Express;53.93;89.57;35.64;66;YES
1954 Greyhound Scenicruiser;25.98;50.86;24.88;96;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;56.24;22.63;67;YES
1982 Camaro Z28;46.53;80.92;34.39;74;YES
2001 Ferrari Enzo;95.59;166.24;70.65;74;YES
1969 Ford Falcon;83.05;160.91;77.86;94;YES
1998 Chrysler Plymouth Prowler;101.51;139.17;37.66;37;YES
1970 Triumph Spitfire;91.92;140.75;48.83;53;YES
1992 Porsche Cayenne Turbo Silver;69.78;101.72;31.94;46;YES
1950's Chicago Surface Lines Streetcar;26.72;62.14;35.42;133;YES
Diamond T620 Semi-Skirted Tanker;68.29;109.96;41.67;61;YES
1962 City of Detroit Streetcar;37.49;52.14;14.65;39;YES
1903 Ford Model A;68.3;113.37;45.07;66;YES
Collectable Wooden Train;67.56;92.77;25.21;37;YES
1904 Buick Runabout;52.66;82.5;29.84;57;YES
18th century schooner;82.34;115.52;33.18;40;YES
1912 Ford Model T Delivery Wagon;46.91;79.66;32.75;70;YES
The Schooner Bluenose;34;58.67;24.67;73;YES
The Mayflower;43.3;77.95;34.65;80;YES
The Titanic;51.09;88.15;37.06;73;YES
The Queen Mary;53.63;83.42;29.79;56;YES
Pont Yacht;33.3;52.96;19.66;59;YES
1972 Alfa Romeo GTA;85.68;131.92;46.24;54;YES
1980s Black Hawk Helicopter;77.27;127.73;50.46;65;YES
1999 Yamaha Speed Boat;51.61;70.54;18.93;37;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;104.81;40.23;62;YES
1900s Vintage Bi-Plane;34.25;67.82;33.57;98;YES
1937 Horch 930V Limousine;26.3;65.75;39.45;150;YES
1940 Ford Delivery Sedan;48.64;68.77;20.13;41;YES
Corsair F4U ( Bird Cage);29.34;64.15;34.81;119;YES
HMS Bounty;39.83;86.9;47.07;118;YES
America West Airlines B757-200;68.8;91.74;22.94;33;YES
American Airlines: MD-11S;36.27;68.11;31.84;88;YES
Boeing X-32A JSF;32.77;41.71;8.94;27;NO
P-51-D Mustang;49;82.79;33.79;69;YES
1928 British Royal Navy Airplane;66.74;105.04;38.3;57;YES
1900s Vintage Tri-Plane;36.23;66.65;30.42;84;YES
1997 BMW F650 ST;66.92;86.9;19.98;30;YES
1928 Ford Phaeton Deluxe;33.02;63.97;30.95;94;YES
1930 Buick Marquette Phaeton;27.06;43.2;16.14;60;YES
American Airlines: B767-300;51.15;75.81;24.66;48;YES
ATA: B757-300;59.33;98.48;39.15;66;YES
F/A 18 Hornet 1/72;54.4;80;25.6;47;YES
1969 Harley Davidson Ultimate Chopper;48.81;76.56;27.75;57;YES
1996 Moto Guzzi 1100i;68.99;99.91;30.92;45;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;164.61;73.59;81;YES
2002 Suzuki XREO;66.27;131.04;64.77;98;YES
1936 Harley Davidson El Knucklehead;24.23;48.46;24.23;100;YES
1957 Vespa GS150;32.95;59.06;26.11;79;YES
1957 Corvette Convertible;69.93;147.31;77.38;111;YES
1997 BMW R 1100 S;60.86;98.05;37.19;61;YES
1960 BSA Gold Star DBD34;37.32;61.7;24.38;65;YES
1982 Ducati 900 Monster;47.1;60.95;13.85;29;NO
1961 Chevrolet Impala;32.33;68.71;36.38;113;YES
1982 Ducati 996 R;24.14;33.39;9.25;38;YES
1974 Ducati 350 Mk3 Desmo;56.13;102.05;45.92;82;YES
2002 Yamaha YZR M1;34.17;74.85;40.68;119;YES
1968 Ford Mustang;95.34;155.66;60.32;63;YES
1968 Dodge Charger;75.16;113.92;38.76;52;YES
1970 Plymouth Hemi Cuda;31.92;67.03;35.11;110;YES
1969 Dodge Charger;58.73;107.1;48.37;82;YES
1993 Mazda RX-7;83.51;124.56;41.05;49;YES
1965 Aston Martin DB5;65.96;124.44;58.48;89;YES
1948 Porsche 356-A Roadster;53.9;74.69;20.79;39;YES
1995 Honda Civic;93.89;129.45;35.56;38;YES
1999 Indy 500 Monte Carlo SS;56.76;130.68;73.92;130;YES
1992 Ferrari 360 Spider red;77.9;147.33;69.43;89;YES
1969 Dodge Super Bee;49.05;73.17;24.12;49;YES
1976 Ford Gran Torino;73.49;120.53;47.04;64;YES
1948 Porsche Type 356 Roadster;62.16;137.04;74.88;120;YES
1966 Shelby Cobra 427 S/C;29.18;45.28;16.1;55;YES
1982 Lamborghini Diablo;16.24;32.85;16.61;102;YES
1971 Alpine Renault 1600s;38.58;54.49;15.91;41;YES
1956 Porsche 356A Coupe;98.3;122.17;23.87;24;NO
1937 Lincoln Berline;60.62;83.22;22.6;37;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;44.21;19.95;82;YES
1917 Grand Touring Sedan;86.7;159.8;73.1;84;YES
1911 Ford Town Car;33.3;54.49;21.19;64;YES
1932 Model A Ford J-Coupe;58.48;105.52;47.04;80;YES
1928 Mercedes-Benz SSK;72.56;135;62.44;86;YES
1917 Maxwell Touring Car;57.54;86.31;28.77;50;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;88.35;45.09;104;YES
1957 Ford Thunderbird;34.21;61.29;27.08;79;YES
1970 Chevy Chevelle SS 454;49.24;63.2;13.96;28;NO
1939 Chevrolet Deluxe Coupe;22.57;31.86;9.29;41;YES
1938 Cadillac V-16 Presidential Limousine;20.61;39.87;19.26;93;YES
1949 Jaguar XK 120;47.25;87.24;39.99;85;YES
1952 Citroen-15CV;72.82;116.27;43.45;60;YES
1969 Chevrolet Camaro Z28;50.51;73.62;23.11;46;YES
2002 Chevy Corvette;62.11;95.3;33.19;53;YES
1936 Mercedes Benz 500k Roadster;21.75;34.88;13.13;60;YES
1952 Alpine Renault 1300;98.58;180.01;81.43;83;YES
1962 LanciaA Delta 16V;103.42;127.06;23.64;23;NO
1958 Setra Bus;77.9;114.8;36.9;47;YES
1940 Ford Pickup Truck;58.33;108.5;50.17;86;YES
1913 Ford Model T Speedster;60.78;91.18;30.4;50;YES
1934 Ford V8 Coupe;34.35;51.22;16.87;49;YES
18th Century Vintage Horse Carriage;60.74;90.06;29.32;48;YES
1940s Ford truck;84.76;118.66;33.9;40;YES
1939 Cadillac Limousine;23.14;42.26;19.12;83;YES
1936 Chrysler Airflow;57.46;81.81;24.35;42;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;52.36;18.75;56;YES
1982 Camaro Z28;46.53;85.98;39.45;85;YES
1998 Chrysler Plymouth Prowler;101.51;145.72;44.21;44;YES
1964 Mercedes Tour Bus;74.86;119.05;44.19;59;YES
1926 Ford Fire Engine;24.92;60.77;35.85;144;YES
1992 Ferrari 360 Spider red;77.9;165.95;88.05;113;YES
1962 Volkswagen Microbus;61.34;117.57;56.23;92;YES
1958 Chevy Corvette Limited Edition;15.91;30.06;14.15;89;YES
1992 Porsche Cayenne Turbo Silver;69.78;114.73;44.95;64;YES
1980â€™s GM Manhattan Express;53.93;84.75;30.82;57;YES
1954 Greyhound Scenicruiser;25.98;52.49;26.51;102;YES
1950's Chicago Surface Lines Streetcar;26.72;59.03;32.31;121;YES
Diamond T620 Semi-Skirted Tanker;68.29;92.6;24.31;36;YES
2001 Ferrari Enzo;95.59;195.33;99.74;104;YES
1969 Ford Falcon;83.05;147.07;64.02;77;YES
1903 Ford Model A;68.3;124.3;56;82;YES
Collectable Wooden Train;67.56;94.79;27.23;40;YES
1970 Triumph Spitfire;91.92;127.82;35.9;39;YES
1904 Buick Runabout;52.66;87.77;35.11;67;YES
18th century schooner;82.34;105.69;23.35;28;NO
1912 Ford Model T Delivery Wagon;46.91;83.2;36.29;77;YES
1962 City of Detroit Streetcar;37.49;46.86;9.37;25;NO
The Schooner Bluenose;34;64.67;30.67;90;YES
The Mayflower;43.3;79.68;36.38;84;YES
The Titanic;51.09;99.17;48.08;94;YES
The Queen Mary;53.63;93.35;39.72;74;YES
Pont Yacht;33.3;47.5;14.2;43;YES
1972 Alfa Romeo GTA;85.68;108.8;23.12;27;NO
1980s Black Hawk Helicopter;77.27;137.19;59.92;78;YES
1999 Yamaha Speed Boat;51.61;73.12;21.51;42;YES
1941 Chevrolet Special Deluxe Cabriolet;64.58;98.46;33.88;52;YES
1900s Vintage Bi-Plane;34.25;60.29;26.04;76;YES
1937 Horch 930V Limousine;26.3;59.83;33.53;127;YES
1940 Ford Delivery Sedan;48.64;68.77;20.13;41;YES
HMS Bounty;39.83;80.56;40.73;102;YES
Boeing X-32A JSF;32.77;42.71;9.94;30;YES
P-51-D Mustang;49;70.12;21.12;43;YES
1928 British Royal Navy Airplane;66.74;96.29;29.55;44;YES
Corsair F4U ( Bird Cage);29.34;55.96;26.62;91;YES
1900s Vintage Tri-Plane;36.23;64.48;28.25;78;YES
1928 Ford Phaeton Deluxe;33.02;61.22;28.2;85;YES
1930 Buick Marquette Phaeton;27.06;39.71;12.65;47;YES
American Airlines: B767-300;51.15;84.95;33.8;66;YES
America West Airlines B757-200;68.8;95.73;26.93;39;YES
F/A 18 Hornet 1/72;54.4;72;17.6;32;YES
American Airlines: MD-11S;36.27;70.33;34.06;94;YES
1969 Harley Davidson Ultimate Chopper;48.81;95.7;46.89;96;YES
1996 Moto Guzzi 1100i;68.99;111.8;42.81;62;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;182.04;91.02;100;YES
1936 Harley Davidson El Knucklehead;24.23;52.09;27.86;115;YES
1997 BMW R 1100 S;60.86;95.8;34.94;57;YES
1960 BSA Gold Star DBD34;37.32;61.7;24.38;65;YES
1997 BMW F650 ST;66.92;81.91;14.99;22;NO
ATA: B757-300;59.33;96.11;36.78;62;YES
2002 Suzuki XREO;66.27;138.57;72.3;109;YES
1982 Ducati 900 Monster;47.1;58.87;11.77;25;NO
1982 Ducati 996 R;24.14;38.62;14.48;60;YES
1974 Ducati 350 Mk3 Desmo;56.13;89.8;33.67;60;YES
2002 Yamaha YZR M1;34.17;67.53;33.36;98;YES
1968 Ford Mustang;95.34;155.66;60.32;63;YES
1968 Dodge Charger;75.16;104.52;29.36;39;YES
1970 Plymouth Hemi Cuda;31.92;70.22;38.3;120;YES
1969 Dodge Super Bee;49.05;75.59;26.54;54;YES
1976 Ford Gran Torino;73.49;119.06;45.57;62;YES
1957 Vespa GS150;32.95;60.93;27.98;85;YES
1957 Corvette Convertible;69.93;136.9;66.97;96;YES
1971 Alpine Renault 1600s;38.58;53.27;14.69;38;YES
1961 Chevrolet Impala;32.33;77.61;45.28;140;YES
1969 Dodge Charger;58.73;99.04;40.31;69;YES
1993 Mazda RX-7;83.51;140.12;56.61;68;YES
1965 Aston Martin DB5;65.96;100.8;34.84;53;YES
1948 Porsche 356-A Roadster;53.9;70.84;16.94;31;YES
1995 Honda Civic;93.89;128.03;34.14;36;YES
1999 Indy 500 Monte Carlo SS;56.76;110.88;54.12;95;YES
1992 Ferrari 360 Spider red;77.9;137.17;59.27;76;YES
1948 Porsche Type 356 Roadster;62.16;125.74;63.58;102;YES
1970 Chevy Chevelle SS 454;49.24;72.02;22.78;46;YES
1966 Shelby Cobra 427 S/C;29.18;49.3;20.12;69;YES
1949 Jaguar XK 120;47.25;86.33;39.08;83;YES
1952 Citroen-15CV;72.82;112.74;39.92;55;YES
1982 Lamborghini Diablo;16.24;33.23;16.99;105;YES
1969 Chevrolet Camaro Z28;50.51;69.34;18.83;37;YES
2002 Chevy Corvette;62.11;93.16;31.05;50;YES
1956 Porsche 356A Coupe;98.3;112.34;14.04;14;NO
1937 Lincoln Berline;60.62;92.47;31.85;53;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;46.36;22.1;91;YES
1917 Grand Touring Sedan;86.7;153;66.3;76;YES
1911 Ford Town Car;33.3;60.54;27.24;82;YES
1932 Model A Ford J-Coupe;58.48;115.69;57.21;98;YES
1928 Mercedes-Benz SSK;72.56;143.44;70.88;98;YES
1913 Ford Model T Speedster;60.78;87.13;26.35;43;YES
1934 Ford V8 Coupe;34.35;53.09;18.74;55;YES
18th Century Vintage Horse Carriage;60.74;97.39;36.65;60;YES
1917 Maxwell Touring Car;57.54;79.37;21.83;38;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;92.03;48.77;113;YES
1957 Ford Thunderbird;34.21;66.28;32.07;94;YES
1939 Chevrolet Deluxe Coupe;22.57;32.19;9.62;43;YES
1938 Cadillac V-16 Presidential Limousine;20.61;44.8;24.19;117;YES
1936 Mercedes Benz 500k Roadster;21.75;38.16;16.41;75;YES
1936 Chrysler Airflow;57.46;92.52;35.06;61;YES
1952 Alpine Renault 1300;98.58;203.59;105.01;107;YES
1962 LanciaA Delta 16V;103.42;134.44;31.02;30;YES
1958 Setra Bus;77.9;124.37;46.47;60;YES
1940 Ford Pickup Truck;58.33;103.84;45.51;78;YES
1926 Ford Fire Engine;24.92;51.05;26.13;105;YES
1940s Ford truck;84.76;113.82;29.06;34;YES
1939 Cadillac Limousine;23.14;47.79;24.65;107;YES
1962 Volkswagen Microbus;61.34;112.46;51.12;83;YES
1980â€™s GM Manhattan Express;53.93;77.05;23.12;43;YES
1996 Peterbilt 379 Stake Bed with Outrigger;33.61;61.41;27.8;83;YES
1982 Camaro Z28;46.53;80.92;34.39;74;YES
1998 Chrysler Plymouth Prowler;101.51;139.17;37.66;37;YES
1964 Mercedes Tour Bus;74.86;112.91;38.05;51;YES
1992 Ferrari 360 Spider red;77.9;150.71;72.81;93;YES
1958 Chevy Corvette Limited Edition;15.91;31.82;15.91;100;YES
1992 Porsche Cayenne Turbo Silver;69.78;95.81;26.03;37;YES
1954 Greyhound Scenicruiser;25.98;51.95;25.97;100;YES
1950's Chicago Surface Lines Streetcar;26.72;59.03;32.31;121;YES
Diamond T620 Semi-Skirted Tanker;68.29;97.23;28.94;42;YES
2001 Ferrari Enzo;95.59;203.64;108.05;113;YES
1969 Ford Falcon;83.05;147.07;64.02;77;YES
1903 Ford Model A;68.3;127.03;58.73;86;YES
Collectable Wooden Train;67.56;81.68;14.12;21;NO
1970 Triumph Spitfire;91.92;126.39;34.47;38;YES
1962 City of Detroit Streetcar;37.49;56.82;19.33;52;YES
The Mayflower;43.3;84.88;41.58;96;YES
1972 Alfa Romeo GTA;85.68;118.32;32.64;38;YES
1999 Yamaha Speed Boat;51.61;83.44;31.83;62;YES
